product_code,name,supplier_display,location,threshold,lead_time_days
5055331318541,Novocastra Liquid Mouse Monoclonal Antibody Helicobacter pylori,Leica,,0,2
5055331308023,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin A,Leica,,0,2
5055331307965,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin D,Leica,,0,2
5055331317711,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin G,Leica,,0,2
5055331307880,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin M,Leica,,0,2
5055331318350,Novocastra Liquid Mouse Monoclonal Antibody Inhibin Alpha,Leica,,0,2
5055331307637,Novocastra Liquid Mouse Monoclonal Antibody Kappa Light Chain,Leica,,0,2
5055331307507,Novocastra Liquid Mouse Monoclonal Antibody Ki67 Antigen,Leica,,0,2
5055331307408,Novocastra Liquid Mouse Monoclonal Antibody Lambda Light Chain,Leica,,0,2
5055331328236,Novocastra Liquid Mouse Monoclonal Antibody Langerin,Leica,,0,2
5055331323132,Novocastra Liquid Mouse Monoclonal Antibody CD45,Leica,,0,2
5055331307125,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 14,Leica,,0,2
5055331306593,Novocastra Liquid Mouse Monoclonal Antibody Melan A,Leica,,0,2
5055331306487,Novocastra Liquid Mouse Monoclonal Antibody Mesothelin,Leica,,0,2
5055331306296,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein (MLH1),Leica,,0,2
5055331318572,Novocastra Liquid Mouse Monoclonal Antibody Muscle Specific Actin,Leica,,0,2
5055331328809,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein 2 (MSH2),Leica,,0,2
5055331306074,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein 6 (MSH6),Leica,,0,2
5055331317773,Novocastra Liquid Mouse Monoclonal Antibody Multiple Myeloma Oncogene 1 (MUM-1),Leica,,0,2
5055331305725,Novocastra Liquid Mouse Monoclonal Antibody Myf-4 (Rhabdomyosarcoma Marker),Leica,,0,2
5055331305572,Novocastra Liquid Mouse Monoclonal Antibody Napsin A,Leica,,0,2
5055331325747,Novocastra Liquid Mouse Monoclonal Antibody Neurofilament 200 kD,Leica,,0,2
5055331305152,Novocastra Liquid Mouse Monoclonal Antibody Oct-3/4,Leica,,0,2
5055331304902,Novocastra Liquid Mouse Monoclonal Antibody p53 Protein (DO-7),Leica,,0,2
5055331328229,Novocastra Liquid Mouse Monoclonal Antibody p57 Protein (Kip2),Leica,,0,2
5055331320063,Novocastra Liquid Mouse Monoclonal Antibody p63 Protein,Leica,,0,2
5055331323897,Novocastra Liquid Mouse Monoclonal Antibody Pax-5,Leica,,0,2
5055331303271,Novocastra Liquid Mouse Monoclonal Antibody Protein Gene Product 9.5,Leica,,0,2
5055331302908,Novocastra Liquid Mouse Monoclonal Antibody Progesterone Receptor,Leica,,0,2
5055331303165,Novocastra Liquid Mouse Monoclonal Antibody Progesterone Receptor Clone (16) (Concentrated Liquid Antibody Format),Leica,,0,2
5055331303066,Novocastra Liquid Mouse Monoclonal Antibody Progesterone Receptor,Leica,,0,2
5055331303011,Novocastra Liquid Mouse Monoclonal Antibody p53 Protein (DO-7),Leica,,0,2
5055331302793,Novocastra Liquid Mouse Monoclonal Antibody Placental Alkaline Phosphatase,Leica,,0,2
5055331318480,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein (PMS2),Leica,,0,2
5055331325723,Novocastra Liquid Mouse Monoclonal Antibody Prostate Specific Antigen,Leica,,0,2
5055331328243,Novocastra Liquid Mouse Monoclonal Antibody Parathyroid Hormone,Leica,,0,2
5055331329707,Novocastra Liquid Rabbit Monoclonal Antibody S100 (EP32),Leica,,0,2
5055331325730,Novocastra Liquid Mouse Monoclonal Antibody Alpha Smooth Muscle Actin,Leica,,0,2
5055331301352,Novocastra Liquid Mouse Monoclonal Antibody Synaptophysin,Leica,,0,2
5055331301208,Novocastra Liquid Mouse Monoclonal Antibody Terminal Deoxynucleotidyl Transferase,Leica,,0,2
5055331300935,Novocastra Liquid Mouse Monoclonal Antibody Thyroid Peroxidase,Leica,,0,2
5055331300676,Novocastra Liquid Mouse Monoclonal Antibody Thyroid Transcription Factor-1,Leica,,0,2
5055331300584,Novocastra Liquid Mouse Monoclonal Antibody Tyrosinase,Leica,,0,2
5055331300362,Novocastra Liquid Mouse Monoclonal Antibody Vimentin,Leica,,0,2
5055331300294,Novocastra Liquid Mouse Monoclonal Antibody Vimentin,Leica,,0,2
5055331322470,Novocastra Liquid Mouse Monoclonal Antibody von Willebrand Factor,Leica,,0,2
5055331300096,Novocastra Liquid Mouse Monoclonal Antibody Wilms’ Tumor,Leica,,0,2
5055331306548,Novocastra Lyophilized Mouse Monoclonal Antibody Merosin Laminin Alpha 2 Chain,Leica,,0,2
5055331301482,Novocastra Lyophilized Mouse Monoclonal Antibody Spectrin,Leica,,0,2
5055331305121,BOND Open Containers (30mL),Leica,,0,2
5055331305114,BOND Open Containers (7mL),Leica,,0,2
5055331305107,BOND Titration Kit,Leica,,0,2
5055331305091,BOND Titration Container Inserts,Leica,,0,2
5055331304780,"BOND™ Ready-to-Use Primary Antibody
Carcinoembryonic Antigen (II-7)",Leica,,0,2
